Name,ExecutionTimeInSeconds
TestCase2800,2
TestCase957,5
TestCase1744,4
TestCase3070,3
TestCase1218,9
TestCase4987,9
TestCase427,5
TestCase4891,8
TestCase3685,7
TestCase1726,9
TestCase249,10
TestCase4215,2
TestCase1985,7
TestCase4664,8
TestCase1308,9
TestCase2350,5
TestCase4174,5
TestCase1064,10
TestCase141,3
TestCase3166,4
TestCase1152,1
TestCase2863,1
TestCase3109,3
TestCase192,7
TestCase971,6
TestCase2193,1
TestCase3196,6
TestCase3036,9
TestCase2072,2
TestCase4829,6
TestCase2514,10
TestCase2286,7
TestCase3041,7
TestCase2926,5
TestCase489,7
TestCase4375,4
TestCase3952,10
TestCase4841,9
TestCase3929,1
TestCase349,5
TestCase1788,10
TestCase3342,8
TestCase1992,5
TestCase4925,2
TestCase4971,3
TestCase293,1
TestCase404,3
TestCase3938,8
TestCase4497,5
TestCase3751,8
TestCase2553,6
TestCase2826,4
TestCase3589,9
TestCase2542,1
TestCase2806,7
TestCase2240,3
TestCase1309,1
TestCase3635,9
TestCase49,5
TestCase522,10
TestCase3570,6
TestCase269,6
TestCase1131,1
TestCase4389,1
TestCase1432,7
TestCase1704,10
TestCase3669,3
TestCase642,2
TestCase1551,5
TestCase1917,5
TestCase4874,9
TestCase186,2
TestCase3089,6
TestCase532,9
TestCase2906,9
TestCase4793,6
TestCase3956,9
TestCase4678,6
TestCase3835,3
TestCase1602,9
TestCase955,10
TestCase4402,5
TestCase4579,1
TestCase1937,5
TestCase2077,8
TestCase4549,2
TestCase3341,7
TestCase1042,6
TestCase4834,10
TestCase900,6
TestCase217,8
TestCase3374,5
TestCase2308,7
TestCase470,6
TestCase353,1
TestCase2645,10
TestCase1861,4
TestCase4345,9
TestCase4622,9
TestCase4617,2
TestCase1279,2
TestCase4041,5
TestCase3144,2
TestCase1180,4
TestCase588,5
TestCase4715,1
TestCase2293,3
TestCase1214,1
TestCase205,4
TestCase4288,9
TestCase865,1
TestCase660,10
TestCase4813,10
TestCase2282,6
TestCase464,8
TestCase4240,6
TestCase1880,6
TestCase3964,3
TestCase4836,2
TestCase1604,2
TestCase2844,6
TestCase3358,4
TestCase544,4
TestCase3617,7
TestCase3122,9
TestCase298,6
TestCase1049,3
TestCase2379,2
TestCase2971,10
TestCase4330,1
TestCase2895,6
TestCase1050,2
TestCase4798,5
TestCase3045,5
TestCase4016,7
TestCase3898,7
TestCase1701,7
TestCase4735,4
TestCase4304,4
TestCase3314,3
TestCase3051,5
TestCase2615,8
TestCase3462,1
TestCase779,8
TestCase3180,7
TestCase2365,10
TestCase332,9
TestCase4387,8
TestCase4464,6
TestCase3212,2
TestCase371,10
TestCase2497,7
TestCase114,10
TestCase2310,10
TestCase748,2
TestCase3330,2
TestCase4292,9
TestCase3591,9
TestCase1689,6
TestCase2040,7
TestCase2473,10
TestCase3444,1
TestCase3540,7
TestCase321,5
TestCase83,7
TestCase1981,8
TestCase2841,6
TestCase2537,6
TestCase1216,5
TestCase3477,6
TestCase4394,8
TestCase627,8
TestCase1734,1
TestCase278,3
TestCase3757,10
TestCase4894,3
TestCase4602,3
TestCase4290,5
TestCase1695,8
TestCase4385,6
TestCase2381,7
TestCase1898,6
TestCase4020,8
TestCase650,6
TestCase4636,4
TestCase950,9
TestCase4206,8
TestCase2833,2
TestCase4882,6
TestCase1033,5
TestCase4416,7
TestCase1601,5
TestCase2342,2
TestCase232,9
TestCase14,5
TestCase1156,8
TestCase2570,9
TestCase2868,10
TestCase4226,6
TestCase698,1
TestCase904,9
TestCase1755,10
TestCase2451,2
TestCase3469,6
TestCase1167,3
TestCase4647,5
TestCase3025,4
TestCase3647,4
TestCase984,10
TestCase234,10
TestCase4428,2
TestCase95,2
TestCase2691,2
TestCase3809,9
TestCase221,2
TestCase4888,9
TestCase4514,8
TestCase4711,2
TestCase4281,4
TestCase1778,3
TestCase3156,9
TestCase4862,10
TestCase4191,8
TestCase3950,8
TestCase3699,3
TestCase3566,1
TestCase60,6
TestCase4536,5
TestCase116,3
TestCase485,9
TestCase1608,3
TestCase2993,3
TestCase3991,3
TestCase1977,9
TestCase1046,2
TestCase2630,4
TestCase3347,1
TestCase1111,5
TestCase366,3
TestCase612,4
TestCase4006,2
TestCase1211,7
TestCase2172,1
