Name,ExecutionTimeInSeconds,TestDistribution
TestCase2716,5,%Large_0_%Small_100
TestCase60,9,%Large_0_%Small_100
TestCase785,2,%Large_0_%Small_100
TestCase4701,10,%Large_0_%Small_100
TestCase3240,2,%Large_0_%Small_100
TestCase2746,2,%Large_0_%Small_100
TestCase2666,8,%Large_0_%Small_100
TestCase2801,6,%Large_0_%Small_100
TestCase3947,8,%Large_0_%Small_100
TestCase3882,10,%Large_0_%Small_100
TestCase4604,7,%Large_0_%Small_100
TestCase1013,8,%Large_0_%Small_100
TestCase265,6,%Large_0_%Small_100
TestCase3497,10,%Large_0_%Small_100
TestCase4196,7,%Large_0_%Small_100
TestCase1128,3,%Large_0_%Small_100
TestCase429,1,%Large_0_%Small_100
TestCase1869,6,%Large_0_%Small_100
TestCase2596,8,%Large_0_%Small_100
TestCase2029,6,%Large_0_%Small_100
TestCase1374,4,%Large_0_%Small_100
TestCase236,3,%Large_0_%Small_100
TestCase4786,4,%Large_0_%Small_100
TestCase4855,10,%Large_0_%Small_100
TestCase2201,9,%Large_0_%Small_100
TestCase2837,6,%Large_0_%Small_100
TestCase3534,9,%Large_0_%Small_100
TestCase264,5,%Large_0_%Small_100
TestCase2614,5,%Large_0_%Small_100
TestCase3816,2,%Large_0_%Small_100
TestCase2859,3,%Large_0_%Small_100
TestCase2163,6,%Large_0_%Small_100
TestCase1221,10,%Large_0_%Small_100
TestCase2415,8,%Large_0_%Small_100
TestCase1204,9,%Large_0_%Small_100
TestCase668,7,%Large_0_%Small_100
TestCase526,10,%Large_0_%Small_100
TestCase1526,9,%Large_0_%Small_100
TestCase2646,10,%Large_0_%Small_100
TestCase2033,2,%Large_0_%Small_100
TestCase742,2,%Large_0_%Small_100
TestCase2803,7,%Large_0_%Small_100
TestCase2627,10,%Large_0_%Small_100
TestCase4265,10,%Large_0_%Small_100
TestCase2281,8,%Large_0_%Small_100
TestCase2230,10,%Large_0_%Small_100
TestCase1960,4,%Large_0_%Small_100
TestCase1429,2,%Large_0_%Small_100
TestCase3815,2,%Large_0_%Small_100
TestCase241,5,%Large_0_%Small_100
TestCase171,8,%Large_0_%Small_100
TestCase2207,4,%Large_0_%Small_100
TestCase2134,7,%Large_0_%Small_100
TestCase916,9,%Large_0_%Small_100
TestCase2952,3,%Large_0_%Small_100
TestCase3548,2,%Large_0_%Small_100
TestCase1127,5,%Large_0_%Small_100
TestCase3036,1,%Large_0_%Small_100
TestCase575,5,%Large_0_%Small_100
TestCase4565,3,%Large_0_%Small_100
TestCase3554,8,%Large_0_%Small_100
TestCase585,9,%Large_0_%Small_100
TestCase1006,7,%Large_0_%Small_100
TestCase1603,1,%Large_0_%Small_100
TestCase3501,10,%Large_0_%Small_100
TestCase1599,5,%Large_0_%Small_100
TestCase1644,2,%Large_0_%Small_100
TestCase1616,3,%Large_0_%Small_100
TestCase4410,7,%Large_0_%Small_100
TestCase4303,7,%Large_0_%Small_100
TestCase1842,5,%Large_0_%Small_100
TestCase3041,2,%Large_0_%Small_100
TestCase3574,1,%Large_0_%Small_100
TestCase660,2,%Large_0_%Small_100
TestCase983,8,%Large_0_%Small_100
TestCase922,8,%Large_0_%Small_100
TestCase1205,7,%Large_0_%Small_100
TestCase919,5,%Large_0_%Small_100
TestCase3145,10,%Large_0_%Small_100
TestCase910,9,%Large_0_%Small_100
TestCase1835,10,%Large_0_%Small_100
TestCase2212,2,%Large_0_%Small_100
TestCase2382,8,%Large_0_%Small_100
TestCase4754,4,%Large_0_%Small_100
TestCase3820,6,%Large_0_%Small_100
TestCase2169,4,%Large_0_%Small_100
TestCase2920,6,%Large_0_%Small_100
TestCase4910,10,%Large_0_%Small_100
TestCase4481,3,%Large_0_%Small_100
TestCase4528,9,%Large_0_%Small_100
