Name,ExecutionTimeInSeconds
TestCase1431,14
TestCase3270,29
TestCase788,46
TestCase14,4
TestCase2036,23
TestCase3635,43
TestCase614,36
TestCase1141,1
TestCase2231,24
TestCase1306,37
TestCase1580,12
TestCase291,6
TestCase2786,52
TestCase1036,3
TestCase1115,5
TestCase3590,16
TestCase1244,10
TestCase1259,40
TestCase136,30
TestCase2178,30
TestCase148,2
TestCase3462,60
TestCase1143,2
TestCase1073,32
TestCase1368,56
TestCase376,6
TestCase3682,53
TestCase597,19
TestCase133,53
TestCase1175,56
TestCase253,10
TestCase1779,52
TestCase39,10
TestCase291,11
TestCase506,9
TestCase1119,9
TestCase603,30
TestCase371,45
TestCase130,49
TestCase834,2
TestCase1205,43
TestCase962,38
TestCase2676,50
TestCase1564,12
TestCase1792,37
TestCase1010,42
TestCase3645,15
TestCase32,24
TestCase567,31
TestCase1052,43
TestCase3016,44
TestCase809,16
TestCase2097,45
TestCase2956,46
TestCase206,2
TestCase706,5
TestCase841,8
TestCase2952,33
TestCase1205,4
TestCase9,40
TestCase891,5
TestCase2732,60
TestCase1585,43
TestCase148,43
TestCase159,7
TestCase2591,52
TestCase165,6
TestCase2135,30
TestCase1883,16
TestCase1693,23
TestCase1584,25
TestCase569,1
TestCase3003,11
TestCase3080,31
TestCase204,3
TestCase319,7
TestCase2018,49
TestCase890,55
TestCase1129,45
TestCase3592,26
TestCase1571,38
TestCase1525,31
TestCase147,3
TestCase577,27
TestCase1003,33
TestCase656,9
TestCase3251,25
TestCase727,59
TestCase1312,30
TestCase3433,54
TestCase3470,21
TestCase3078,28
TestCase625,48
TestCase3302,16
TestCase626,44
TestCase3543,54
TestCase3349,12
TestCase950,4
TestCase3644,51
TestCase405,5
TestCase452,8
TestCase1757,20
TestCase2151,59
TestCase2893,50
TestCase1949,53
TestCase1899,58
TestCase439,6
TestCase2214,19
TestCase2961,43
TestCase441,53
TestCase807,33
TestCase974,15
TestCase1830,19
TestCase2801,42
TestCase904,47
TestCase515,52
TestCase164,33
TestCase1152,13
TestCase1554,28
TestCase3627,32
TestCase2345,54
TestCase2862,42
TestCase2276,24
TestCase2625,43
TestCase1598,38
TestCase2271,41
TestCase2818,26
TestCase142,42
TestCase414,10
TestCase3528,25
TestCase3440,34
TestCase1122,10
TestCase1130,5
TestCase1731,16
TestCase2472,32
TestCase579,56
TestCase33,5
TestCase5,3
TestCase2632,23
TestCase3258,57
TestCase921,10
TestCase2525,41
TestCase117,46
TestCase3587,21
TestCase2009,19
TestCase2965,19
TestCase1707,44
TestCase2642,14
TestCase1245,5
TestCase1028,7
TestCase331,8
TestCase1772,56
TestCase82,33
TestCase1849,59
TestCase102,54
TestCase348,9
TestCase606,7
TestCase3649,44
TestCase966,3
TestCase332,24
TestCase602,10
TestCase1014,10
TestCase167,3
TestCase824,7
TestCase2050,11
TestCase1694,37
TestCase1937,18
TestCase821,17
TestCase1241,15
TestCase3363,11
TestCase2789,28
TestCase210,1
TestCase1057,6
TestCase345,4
TestCase1231,15
TestCase3335,26
TestCase293,3
TestCase1783,42
TestCase1665,16
TestCase2132,22
TestCase1618,50
TestCase1169,4
TestCase3465,33
TestCase539,31
TestCase550,39
TestCase829,36
TestCase279,7
TestCase1842,47
TestCase2512,15
TestCase2419,56
TestCase1314,37
TestCase138,8
TestCase1167,8
TestCase2644,37
TestCase192,39
TestCase195,53
TestCase1048,3
TestCase1166,9
TestCase209,21
TestCase2146,60
TestCase423,35
TestCase461,7
TestCase355,5
TestCase121,8
TestCase318,27
TestCase1870,24
TestCase3596,31
TestCase2149,58
TestCase118,31
TestCase2678,52
TestCase2673,50
TestCase1905,22
TestCase1300,35
TestCase1824,18
TestCase512,51
TestCase3504,40
TestCase996,44
TestCase3018,42
TestCase978,56
TestCase1012,51
TestCase2826,32
TestCase25,12
TestCase1187,10
TestCase2578,16
TestCase1210,1
TestCase932,1
TestCase942,18
TestCase2710,13
TestCase3287,17
TestCase2505,59
TestCase3207,37
TestCase1440,50
TestCase2096,18
TestCase512,2
TestCase1923,20
TestCase1801,14
TestCase3011,11
TestCase1879,28
TestCase1720,18
TestCase3004,53
TestCase442,56
TestCase3681,53
TestCase735,4
TestCase192,10
TestCase498,12
TestCase2046,50
TestCase689,54
TestCase3162,53
TestCase2570,52
TestCase3330,38
TestCase1671,32
TestCase2440,56
TestCase655,7
TestCase1070,8
TestCase3131,37
TestCase77,7
TestCase1182,3
TestCase3513,40
TestCase2279,21
TestCase44,31
TestCase1064,1
TestCase1148,50
TestCase3624,54
TestCase385,36
TestCase2092,26
TestCase108,44
TestCase1764,40
TestCase2466,39
TestCase535,49
TestCase2768,13
TestCase2876,19
TestCase2346,41
TestCase446,11
TestCase1247,10
TestCase3340,27
TestCase2039,20
TestCase2753,11
TestCase294,22
TestCase809,6
TestCase619,8
TestCase1091,7
TestCase3171,26
TestCase2524,39
TestCase690,1
TestCase183,53
TestCase1070,34
TestCase3341,46
TestCase3727,36
TestCase1136,59
TestCase1766,40
TestCase2252,11
TestCase661,9
TestCase2107,22
TestCase2358,45
TestCase928,31
TestCase112,28
TestCase2446,52
TestCase753,3
TestCase1561,46
TestCase1057,19
TestCase1180,6
TestCase1952,19
TestCase1670,19
TestCase939,22
TestCase1727,13
TestCase648,31
TestCase2213,35
TestCase2859,33
TestCase3642,47
TestCase1318,60
TestCase364,7
TestCase555,6
TestCase583,6
TestCase3015,56
TestCase1881,15
TestCase1364,32
TestCase765,34
TestCase2945,23
TestCase2991,12
TestCase2241,40
TestCase753,17
TestCase1051,44
TestCase435,22
TestCase3202,60
TestCase2607,41
TestCase1339,12
TestCase1705,43
TestCase3024,59
TestCase865,32
TestCase3357,28
TestCase2278,39
TestCase630,1
TestCase279,16
TestCase3724,48
TestCase587,18
TestCase1977,12
TestCase47,9
TestCase580,10
TestCase2544,41
TestCase64,17
TestCase316,40
TestCase2828,55
TestCase1970,52
TestCase96,38
TestCase492,16
TestCase2784,20
TestCase3444,57
TestCase927,4
TestCase2898,11
TestCase1862,55
TestCase1810,51
TestCase1147,19
TestCase8,18
TestCase610,24
TestCase3739,11
TestCase211,6
TestCase1930,16
TestCase1477,59
TestCase1116,5
TestCase3138,23
TestCase2501,49
TestCase981,53
TestCase3709,30
TestCase38,16
TestCase304,31
TestCase1206,33
TestCase100,24
TestCase1931,48
TestCase2085,13
TestCase104,13
TestCase1157,39
TestCase82,1
TestCase31,9
TestCase2416,17
TestCase453,28
TestCase906,2
TestCase979,15
TestCase3274,32
TestCase959,1
TestCase1508,54
TestCase2338,42
TestCase1513,59
TestCase836,9
TestCase2453,12
TestCase2081,32
TestCase1216,6
TestCase2679,37
TestCase1113,3
TestCase115,1
TestCase616,1
TestCase785,10
TestCase2388,42
TestCase703,6
TestCase1061,21
TestCase176,22
TestCase264,19
TestCase2959,35
TestCase236,49
TestCase2087,50
TestCase2000,56
TestCase351,3
TestCase2656,37
TestCase2248,56
TestCase718,1
TestCase726,2
TestCase3577,56
TestCase1235,47
TestCase584,17
TestCase1460,51
TestCase2128,11
TestCase3364,42
TestCase2137,14
TestCase965,43
TestCase128,1
TestCase99,35
TestCase1814,48
TestCase956,10
TestCase1473,34
TestCase1083,8
TestCase1101,58
TestCase454,32
TestCase678,8
TestCase73,38
TestCase3673,30
TestCase2485,22
TestCase1716,45
TestCase2206,17
TestCase3428,36
TestCase1214,10
TestCase3144,54
TestCase250,3
TestCase1133,29
TestCase1124,37
TestCase349,53
TestCase850,9
TestCase3012,60
TestCase2354,21
TestCase2605,44
TestCase389,6
TestCase3515,28
TestCase1248,5
TestCase830,9
TestCase585,2
TestCase1240,9
TestCase330,22
TestCase2179,53
TestCase526,9
TestCase476,44
TestCase368,6
TestCase690,26
TestCase1947,59
TestCase679,3
TestCase726,26
TestCase817,7
TestCase1246,9
TestCase1866,41
TestCase1960,25
TestCase2387,28
TestCase1926,39
TestCase2782,24
TestCase451,7
TestCase957,5
TestCase488,31
TestCase2908,21
TestCase75,49
TestCase1283,53
TestCase2230,57
TestCase825,10
TestCase116,60
TestCase3109,43
TestCase2133,11
TestCase215,42
TestCase1094,9
TestCase3430,53
TestCase3209,56
TestCase2224,48
TestCase3499,44
TestCase709,39
TestCase438,53
TestCase942,4
TestCase3599,60
TestCase3609,32
TestCase324,3
TestCase771,33
TestCase290,45
TestCase1132,37
TestCase227,8
TestCase2378,31
TestCase1882,37
TestCase945,31
TestCase2008,30
TestCase2293,21
TestCase1546,11
TestCase2173,46
TestCase2546,15
TestCase2199,21
TestCase1047,5
TestCase740,10
TestCase701,9
TestCase1890,34
TestCase2905,49
TestCase57,54
TestCase620,8
TestCase2335,57
TestCase722,37
TestCase2040,13
TestCase2164,35
TestCase816,43
TestCase970,39
TestCase1487,14
TestCase2762,12
TestCase2104,29
TestCase1014,19
TestCase2746,36
TestCase3507,55
TestCase848,2
TestCase842,9
TestCase1462,40
TestCase42,19
TestCase2049,32
TestCase1193,2
TestCase486,52
TestCase2686,17
TestCase1437,60
TestCase3518,46
TestCase1760,41
TestCase3081,47
TestCase252,49
TestCase271,45
TestCase1803,53
TestCase1362,49
TestCase2478,13
TestCase460,18
TestCase907,35
TestCase969,50
TestCase3017,12
TestCase1818,55
TestCase1260,53
TestCase3466,35
TestCase456,5
TestCase3647,46
TestCase388,32
TestCase2026,13
TestCase99,7
TestCase310,1
TestCase2045,39
TestCase2016,13
TestCase2774,34
TestCase1162,3
TestCase752,6
TestCase2195,58
TestCase3431,23
TestCase190,42
TestCase1121,3
TestCase1322,11
TestCase3158,33
TestCase2963,28
TestCase2166,26
TestCase2103,33
TestCase3244,56
TestCase1240,11
TestCase2852,52
TestCase1075,41
TestCase1478,43
TestCase1378,55
TestCase2756,53
TestCase1223,49
TestCase381,3
TestCase1060,9
TestCase2486,59
TestCase616,48
TestCase1999,34
TestCase2301,20
TestCase1255,58
TestCase1288,41
TestCase973,45
TestCase54,34
TestCase2701,14
TestCase3702,48
TestCase866,6
TestCase532,25
TestCase560,4
TestCase269,40
TestCase1311,19
TestCase108,10
TestCase575,16
TestCase930,9
TestCase2360,17
TestCase1835,22
TestCase2635,27
TestCase1551,22
TestCase987,4
TestCase2083,42
TestCase2529,20
TestCase2609,58
TestCase166,35
TestCase1328,46
TestCase1474,32
TestCase802,7
TestCase2834,21
TestCase817,35
TestCase1161,42
TestCase680,11
TestCase1125,24
TestCase2912,19
TestCase1279,57
TestCase3500,27
TestCase3602,58
TestCase796,58
TestCase3451,12
TestCase339,10
TestCase384,10
TestCase601,52
TestCase752,56
TestCase2975,56
TestCase709,5
TestCase332,9
TestCase3552,53
TestCase847,8
TestCase33,28
TestCase3163,52
TestCase3082,44
TestCase731,5
TestCase13,30
TestCase2733,18
TestCase1781,12
TestCase243,16
TestCase685,51
TestCase1007,45
TestCase827,59
TestCase2863,33
TestCase3183,30
TestCase3263,16
TestCase626,10
TestCase468,40
TestCase7,18
TestCase1239,15
TestCase2155,21
TestCase2306,41
TestCase3434,11
TestCase1021,55
TestCase1741,45
TestCase2684,22
TestCase189,4
TestCase3723,17
TestCase3196,59
TestCase1297,56
TestCase2870,31
TestCase553,7
TestCase414,24
TestCase706,46
TestCase888,10
TestCase786,51
TestCase2810,48
TestCase707,53
TestCase968,8
TestCase2880,17
TestCase1324,50
TestCase719,6
TestCase2761,33
TestCase668,48
TestCase228,51
TestCase2452,33
TestCase1172,9
TestCase1237,5
TestCase1396,14
TestCase605,29
TestCase199,7
TestCase63,2
TestCase2496,37
TestCase237,15
TestCase608,9
TestCase1439,43
TestCase682,7
TestCase3746,29
TestCase95,1
TestCase542,8
TestCase2527,14
TestCase705,6
TestCase971,1
TestCase3696,57
TestCase127,15
TestCase3291,14
TestCase130,7
TestCase2235,27
TestCase428,39
TestCase998,9
TestCase871,10
TestCase1728,35
TestCase419,8
