Name,ExecutionTimeInSeconds
TestCase1158,58
TestCase914,58
TestCase1762,18
TestCase4970,27
TestCase4249,16
TestCase3521,47
TestCase4884,56
TestCase1496,35
TestCase667,24
TestCase682,39
TestCase3537,51
TestCase3068,36
TestCase1966,54
TestCase61,39
TestCase4089,59
TestCase1285,35
TestCase4734,27
TestCase730,12
TestCase3665,12
TestCase889,23
TestCase3915,56
TestCase3654,21
TestCase3823,55
TestCase998,15
TestCase4340,14
TestCase4648,36
TestCase261,28
TestCase4031,27
TestCase3482,12
TestCase4381,58
TestCase312,48
TestCase3041,44
TestCase4792,28
TestCase4694,28
TestCase3225,52
TestCase4898,48
TestCase4608,28
TestCase4883,15
TestCase974,51
TestCase4285,39
TestCase789,29
TestCase81,14
TestCase3767,39
TestCase4478,30
TestCase2085,51
TestCase121,14
TestCase4046,43
TestCase2117,34
TestCase4610,17
TestCase4533,29
TestCase2739,55
TestCase796,46
TestCase3416,40
TestCase4273,24
TestCase4593,53
TestCase2332,47
TestCase4979,17
TestCase1376,27
TestCase3995,16
TestCase3302,37
TestCase2082,56
TestCase2116,15
TestCase4234,56
TestCase1582,20
TestCase4668,21
TestCase4751,19
TestCase274,49
TestCase3205,56
TestCase4168,31
TestCase419,39
TestCase4755,26
TestCase4676,57
TestCase1585,19
TestCase4486,28
TestCase4710,44
TestCase240,17
TestCase4964,44
TestCase74,32
TestCase2511,46
TestCase1465,55
TestCase3261,45
TestCase2662,50
TestCase1920,23
TestCase3736,28
TestCase2282,19
TestCase4499,37
TestCase1414,32
TestCase3065,25
TestCase3953,29
TestCase247,60
TestCase3198,40
TestCase4122,37
TestCase3971,25
TestCase2742,60
TestCase4990,31
TestCase3525,57
TestCase1254,18
TestCase832,37
TestCase1279,11
TestCase2308,56
TestCase4993,44
TestCase3209,37
TestCase1750,28
TestCase1354,18
TestCase828,50
TestCase4474,14
TestCase2724,40
TestCase1481,46
TestCase616,33
TestCase3613,58
TestCase2347,40
TestCase4253,13
TestCase2482,14
TestCase2663,22
TestCase1379,29
TestCase941,38
TestCase4264,28
TestCase4121,38
TestCase1131,50
TestCase4376,23
TestCase1660,12
TestCase270,43
TestCase178,46
TestCase4848,50
TestCase1737,16
TestCase628,58
TestCase2510,19
