AlgorithmName,RunTimeInSeconds,NumOfHils,TestDistribution
ShortestJobFirstPreemptive,1091,25,%Large_0_%Small_100
ShortestJobFirstNonPreemptive,1091,25,%Large_0_%Small_100
Genetic,1087,25,%Large_0_%Small_100
Wrangler,1091,25,%Large_0_%Small_100
ShortestJobFirstPreemptive,551,50,%Large_0_%Small_100
ShortestJobFirstNonPreemptive,551,50,%Large_0_%Small_100
Genetic,550,50,%Large_0_%Small_100
Wrangler,551,50,%Large_0_%Small_100
ShortestJobFirstPreemptive,191,150,%Large_0_%Small_100
ShortestJobFirstNonPreemptive,191,150,%Large_0_%Small_100
Genetic,191,150,%Large_0_%Small_100
Wrangler,191,150,%Large_0_%Small_100
ShortestJobFirstPreemptive,66,500,%Large_0_%Small_100
ShortestJobFirstNonPreemptive,66,500,%Large_0_%Small_100
Genetic,69,500,%Large_0_%Small_100
Wrangler,67,500,%Large_0_%Small_100
ShortestJobFirstPreemptive,4112,25,%Large_50_%Small_50
ShortestJobFirstNonPreemptive,4112,25,%Large_50_%Small_50
Genetic,4095,25,%Large_50_%Small_50
Wrangler,4109,25,%Large_50_%Small_50
ShortestJobFirstPreemptive,2069,50,%Large_50_%Small_50
ShortestJobFirstNonPreemptive,2068,50,%Large_50_%Small_50
Genetic,2064,50,%Large_50_%Small_50
Wrangler,2071,50,%Large_50_%Small_50
ShortestJobFirstPreemptive,712,150,%Large_50_%Small_50
ShortestJobFirstNonPreemptive,713,150,%Large_50_%Small_50
Genetic,716,150,%Large_50_%Small_50
Wrangler,714,150,%Large_50_%Small_50
ShortestJobFirstPreemptive,240,500,%Large_50_%Small_50
ShortestJobFirstNonPreemptive,240,500,%Large_50_%Small_50
Genetic,247,500,%Large_50_%Small_50
Wrangler,246,500,%Large_50_%Small_50
ShortestJobFirstPreemptive,7132,25,%Large_100_%Small_0
ShortestJobFirstNonPreemptive,7132,25,%Large_100_%Small_0
Genetic,7130,25,%Large_100_%Small_0
Wrangler,7132,25,%Large_100_%Small_0
ShortestJobFirstPreemptive,3584,50,%Large_100_%Small_0
ShortestJobFirstNonPreemptive,3584,50,%Large_100_%Small_0
Genetic,3585,50,%Large_100_%Small_0
Wrangler,3583,50,%Large_100_%Small_0
ShortestJobFirstPreemptive,1217,150,%Large_100_%Small_0
ShortestJobFirstNonPreemptive,1217,150,%Large_100_%Small_0
Genetic,1223,150,%Large_100_%Small_0
Wrangler,1218,150,%Large_100_%Small_0
ShortestJobFirstPreemptive,391,500,%Large_100_%Small_0
ShortestJobFirstNonPreemptive,391,500,%Large_100_%Small_0
Genetic,396,500,%Large_100_%Small_0
Wrangler,392,500,%Large_100_%Small_0
ShortestJobFirstPreemptive,2599,25,%Large_25_%Small_75
ShortestJobFirstNonPreemptive,2599,25,%Large_25_%Small_75
Genetic,2583,25,%Large_25_%Small_75
Wrangler,2600,25,%Large_25_%Small_75
ShortestJobFirstPreemptive,1317,50,%Large_25_%Small_75
ShortestJobFirstNonPreemptive,1317,50,%Large_25_%Small_75
Genetic,1316,50,%Large_25_%Small_75
Wrangler,1317,50,%Large_25_%Small_75
ShortestJobFirstPreemptive,462,150,%Large_25_%Small_75
ShortestJobFirstNonPreemptive,462,150,%Large_25_%Small_75
Genetic,471,150,%Large_25_%Small_75
Wrangler,463,150,%Large_25_%Small_75
ShortestJobFirstPreemptive,165,500,%Large_25_%Small_75
ShortestJobFirstNonPreemptive,166,500,%Large_25_%Small_75
Genetic,176,500,%Large_25_%Small_75
Wrangler,171,500,%Large_25_%Small_75
ShortestJobFirstPreemptive,5589,25,%Large_75_%Small_25
ShortestJobFirstNonPreemptive,5589,25,%Large_75_%Small_25
Genetic,5581,25,%Large_75_%Small_25
Wrangler,5591,25,%Large_75_%Small_25
ShortestJobFirstPreemptive,2812,50,%Large_75_%Small_25
ShortestJobFirstNonPreemptive,2812,50,%Large_75_%Small_25
Genetic,2808,50,%Large_75_%Small_25
Wrangler,2813,50,%Large_75_%Small_25
ShortestJobFirstPreemptive,960,150,%Large_75_%Small_25
ShortestJobFirstNonPreemptive,961,150,%Large_75_%Small_25
Genetic,964,150,%Large_75_%Small_25
Wrangler,961,150,%Large_75_%Small_25
ShortestJobFirstPreemptive,313,500,%Large_75_%Small_25
ShortestJobFirstNonPreemptive,313,500,%Large_75_%Small_25
Genetic,321,500,%Large_75_%Small_25
Wrangler,317,500,%Large_75_%Small_25
